"Scaffold_ID_Smans" "Window_start_Smans" "Window_stop_Smans" "ERR562990_Depth_Smans" "ERR562989_Depth_Smans" "log2_FMcoverage_Smans" "flag_Smans"
"SM_V7_ZW" 720001 730000 27.9542 28.1261 -0.00884446246705629 "PAR"
"SM_V7_ZW" 730001 740000 28.9472 29.3663 -0.0207376988990329 "PAR"
"SM_V7_ZW" 740001 750000 23.0787 26.8369 -0.217656071003409 "PAR"
"SM_V7_ZW" 750001 760000 21.9737 24.3753 -0.149642159302448 "PAR"
"SM_V7_ZW" 760001 770000 22.9102 22.3695 0.03445704320907 "PAR"
"SM_V7_ZW" 770001 780000 25.1438 24.9526 0.0110125530461265 "PAR"
"SM_V7_ZW" 780001 790000 24.4825 26.4513 -0.111587743543295 "PAR"
"SM_V7_ZW" 790001 800000 23.146 23.9971 -0.0520971754636862 "PAR"
"SM_V7_ZW" 800001 810000 22.9139 23.4543 -0.033629414196935 "PAR"
"SM_V7_ZW" 810001 820000 22.9261 22.904 0.00139138089923276 "PAR"
"SM_V7_ZW" 820001 830000 25.1838 26.2004 -0.0570928487956118 "PAR"
"SM_V7_ZW" 830001 840000 27.7755 26.4686 0.0695309939064491 "PAR"
"SM_V7_ZW" 840001 850000 23.5367 26.9183 -0.193675241541914 "PAR"
"SM_V7_ZW" 850001 860000 21.1857 26.0632 -0.298923428880765 "PAR"
"SM_V7_ZW" 860001 870000 30.8833 29.7019 0.056271696689172 "PAR"
"SM_V7_ZW" 870001 880000 24.3165 24.5471 -0.0136170051430264 "PAR"
"SM_V7_ZW" 880001 890000 30.3962 26.8225 0.180447265138149 "PAR"
"SM_V7_ZW" 890001 900000 28.9105 27.2123 0.0873346608917476 "PAR"
"SM_V7_ZW" 900001 910000 27.867 26.2898 0.0840545319233367 "PAR"
"SM_V7_ZW" 910001 920000 23.0408 29.6226 -0.362507463227752 "Z"
"SM_V7_ZW" 920001 930000 24.225 28.7193 -0.245523919912114 "PAR"
"SM_V7_ZW" 930001 940000 22.3741 25.5655 -0.19236859094512 "PAR"
"SM_V7_ZW" 940001 950000 24.881 26.3478 -0.0826380336786224 "PAR"
"SM_V7_ZW" 950001 960000 22.0379 25.1243 -0.189096645751737 "PAR"
"SM_V7_ZW" 960001 970000 23.6436 23.6203 0.00142243010736729 "PAR"
"SM_V7_ZW" 970001 980000 20.2312 22.5323 -0.155412690258518 "PAR"
"SM_V7_ZW" 980001 990000 26.3106 25.0685 0.0697684752307962 "PAR"
"SM_V7_ZW" 990001 1000000 25.6741 24.7489 0.0529493000807865 "PAR"
"SM_V7_ZW" 1000001 1010000 24.2315 24.3645 -0.00789690178283869 "PAR"
"SM_V7_ZW" 1010001 1020000 24.2684 24.2563 0.000719493798274582 "PAR"
"SM_V7_ZW" 1020001 1030000 27.4439 28.8824 -0.0737051140932404 "PAR"
"SM_V7_ZW" 1030001 1040000 28.2898 28.8187 -0.0267232802162913 "PAR"
"SM_V7_ZW" 1040001 1050000 25.5733 25.0844 0.0278479088321267 "PAR"
"SM_V7_ZW" 1050001 1060000 24.4165 27.9227 -0.193582039407588 "PAR"
"SM_V7_ZW" 1060001 1070000 25.6735 27.0369 -0.0746497563077796 "PAR"
"SM_V7_ZW" 1070001 1080000 27.156 28.9095 -0.0902726666725104 "PAR"
"SM_V7_ZW" 1080001 1090000 27.7756 26.9202 0.0451289483106349 "PAR"
"SM_V7_ZW" 1090001 1100000 31.6482 28.0698 0.173104663765911 "PAR"
"SM_V7_ZW" 1100001 1110000 29.7616 27.9896 0.0885612191394358 "PAR"
"SM_V7_ZW" 1110001 1120000 29.7469 26.1127 0.187987692247284 "PAR"
"SM_V7_ZW" 1120001 1130000 29.2017 27.0464 0.110615781681775 "PAR"
"SM_V7_ZW" 1130001 1140000 27.6501 27.8005 -0.00782613231384566 "PAR"
"SM_V7_ZW" 1140001 1150000 27.2902 27.6758 -0.0202420526850927 "PAR"
"SM_V7_ZW" 1150001 1160000 26.4232 26.3379 0.00466487598655953 "PAR"
"SM_V7_ZW" 1160001 1170000 29.7927 26.9998 0.142010154914316 "PAR"
"SM_V7_ZW" 1170001 1180000 27.2819 27.1083 0.00920947926566573 "PAR"
"SM_V7_ZW" 1180001 1190000 27.0731 23.8246 0.184408100124643 "PAR"
"SM_V7_ZW" 1190001 1200000 21.8361 22.1768 -0.0223359977862356 "PAR"
"SM_V7_ZW" 1200001 1210000 27.1468 28.3905 -0.0646261107422564 "PAR"
"SM_V7_ZW" 1210001 1220000 30.1211 31.8199 -0.0791548446228363 "PAR"
"SM_V7_ZW" 1220001 1230000 29.9425 27.7436 0.110039678464001 "PAR"
"SM_V7_ZW" 1230001 1240000 28.9033 27.0971 0.0930957611472865 "PAR"
"SM_V7_ZW" 1240001 1250000 26.3335 26.4282 -0.0051788841938177 "PAR"
"SM_V7_ZW" 1250001 1260000 27.6193 29.5438 -0.0971786456702714 "PAR"
"SM_V7_ZW" 1260001 1270000 23.2039 24.1394 -0.0570225104622061 "PAR"
"SM_V7_ZW" 1270001 1280000 25.6799 26.2082 -0.0293786871491569 "PAR"
"SM_V7_ZW" 1280001 1290000 25.0452 23.7836 0.0745670275054285 "PAR"
"SM_V7_ZW" 1290001 1300000 28.763 24.2316 0.247324489334945 "PAR"
"SM_V7_ZW" 1300001 1310000 26.9068 28.1463 -0.064974461012741 "PAR"
"SM_V7_ZW" 1310001 1320000 27.507 26.1263 0.0742959783545137 "PAR"
"SM_V7_ZW" 1320001 1330000 26.0629 27.8121 -0.0937150614751427 "PAR"
"SM_V7_ZW" 1330001 1340000 24.3187 25.3559 -0.0602553743619013 "PAR"
"SM_V7_ZW" 1340001 1350000 25.5217 27.9572 -0.131495447385073 "PAR"
"SM_V7_ZW" 1350001 1360000 29.0952 23.8045 0.289546836966254 "PAR"
"SM_V7_ZW" 1360001 1370000 26.8028 26.0832 0.0392628456359867 "PAR"
"SM_V7_ZW" 1370001 1380000 25.4944 26.7982 -0.0719557148568231 "PAR"
"SM_V7_ZW" 1380001 1390000 26.4253 24.0143 0.138026094626856 "PAR"
"SM_V7_ZW" 1390001 1400000 26.8348 26.082 0.0410506342824476 "PAR"
"SM_V7_ZW" 1400001 1410000 25.1339 26.7381 -0.0892624016572278 "PAR"
"SM_V7_ZW" 1410001 1420000 26.7172 30.0029 -0.167333135229404 "PAR"
"SM_V7_ZW" 1420001 1430000 30.5285 28.2927 0.109726844207637 "PAR"
