Scaffold_ID	Window_start	Window_stop	ERR562990_Depth	ERR562989_Depth
SM_V7_W003	430001	440000	11.6524	0
SM_V7_W003	440001	450000	3.308	0
SM_V7_W003	450001	460000	0	0
SM_V7_W003	460001	470000	22.723	0
SM_V7_W003	470001	480000	46.1697	0
SM_V7_W003	480001	490000	51.833	0
SM_V7_W003	490001	500000	10.5663	0
SM_V7_W003	500001	510000	5.3563	0
SM_V7_6H018	1	10000	15.4512	13.6814
SM_V7_6H018	10001	20000	16.8786	17.8838
SM_V7_6H018	17195	27194	16.9736	15.0759
SM_V7_W004	1	10000	22.1435	0
SM_V7_W004	10001	20000	15.1088	0
SM_V7_W004	20001	30000	12.6707	0.0089
SM_V7_W004	30001	40000	14.1262	0
SM_V7_W004	40001	50000	18.0015	0
SM_V7_W004	50001	60000	0	0
SM_V7_W004	60001	70000	6.1115	0
SM_V7_W004	70001	80000	4.3692	0
SM_V7_W004	80001	90000	5.7664	0
SM_V7_W004	90001	100000	4.5415	0
SM_V7_W004	100001	110000	4.6755	0
SM_V7_W004	110001	120000	2.7845	0.0921
SM_V7_W004	120001	130000	10.269	0.096
SM_V7_W004	130001	140000	11.8332	1.7486
SM_V7_W004	140001	150000	13.6196	1.0132
SM_V7_W004	150001	160000	15.6701	7.9649
SM_V7_W004	160001	170000	19.3159	13.634
SM_V7_W004	170001	180000	26.2836	18.5975
SM_V7_W004	180001	190000	26.3261	26.9884
SM_V7_W004	190001	200000	12.5206	1.3685
SM_V7_W004	200001	210000	31.2872	0.0058
SM_V7_W004	210001	220000	38.8071	0
SM_V7_W004	220001	230000	0	0
SM_V7_W004	230001	240000	0	0
SM_V7_W004	240001	250000	63.3022	0
SM_V7_W004	250001	260000	57.5535	0
SM_V7_W004	260001	270000	12.2061	0
SM_V7_W004	269312	279311	21.5957	0
SM_V7_6H019	1	10000	11.7754	16.2156
SM_V7_6H019	10001	20000	11.3358	12.2673
SM_V7_6H019	16540	26539	9.56782	12.9174
SM_V7_W005	1	10000	12.2858	0
SM_V7_W005	10001	20000	10.2558	0
SM_V7_W005	20001	30000	13.0969	0
SM_V7_W005	30001	40000	6.3216	0
SM_V7_W005	40001	50000	3.9055	0
SM_V7_W005	50001	60000	3.8854	0
SM_V7_W005	60001	70000	3.8308	0
SM_V7_W005	70001	80000	3.8011	0
SM_V7_W005	80001	90000	3.7394	0
SM_V7_W005	90001	100000	3.7757	0
SM_V7_W005	100001	110000	3.911	0
SM_V7_W005	110001	120000	3.7153	0
SM_V7_W005	120001	130000	3.5955	0.0053
SM_V7_W005	130001	140000	3.8617	0
SM_V7_W005	139647	149646	4.06179	0
SM_V7_ZWH039	1	10000	10.7778	10.7646
SM_V7_ZWH039	10001	20000	13.573	13.2805
SM_V7_ZWH039	15206	25205	12.0286	9.4684
SM_V7_ZWH031	1	10000	7.7998	8.4283
SM_V7_ZWH031	10001	20000	6.9647	8.8303
SM_V7_ZWH031	19207	29206	12.5364	12.771
SM_V7_4H029	1	10000	12.6939	13.4546
SM_V7_4H029	10001	20000	12.7747	14.7594
SM_V7_4H029	20001	30000	10.2091	12.1162
SM_V7_ZWH032	1	10000	12.1021	11.8411
SM_V7_ZWH032	10001	20000	16.2572	12.5784
SM_V7_ZWH032	18864	28863	15.5275	14.5159
SM_V7_ZWH033	1	10000	8.7296	12.2928
SM_V7_ZWH033	10001	20000	11.6753	14.7181
SM_V7_ZWH033	18373	28372	13.6697	14.6706
SM_V7_ZWH034	1	10000	29.654	14.1933
SM_V7_ZWH034	10001	20000	18.092	16.4975
SM_V7_ZWH034	17292	27291	19.394	14.8597
SM_V7_2H007	1	10000	10.126	24.6078
SM_V7_2H007	10001	20000	12.4285	22.5627
SM_V7_2H007	20001	30000	11.0536	22.1887
SM_V7_2H007	30001	40000	11.5965	28.0514
SM_V7_2H007	40001	50000	12.5916	28.207
SM_V7_2H007	50001	60000	12.4781	26.4714
SM_V7_2H007	60001	70000	17.3605	27.3821
SM_V7_2H007	70001	80000	14.7316	27.7331
SM_V7_2H007	80001	90000	13.2902	26.6303
SM_V7_2H007	89745	99744	12.3034	28.3091
SM_V7_ZWH035	1	10000	8.9123	9.7519
